"indicator_id","type","value","provider","observed_roles","evidence_tier","first_observed","last_observed","observation_count","status","confidence","source_id","safe_for_blocking","notes"
"domain-0017","domain","hostinger-mail-ewgjnwrkgnkrw-bpmyubyzaeutyofskhaoxvuw[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-06T15:04:45.355000Z","2026-08-14T11:29:28.726000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0018","domain","hostinger-mail-ewgjnwrkgnkrw-bsjhrlpnnodtlbqvluxqtjgf[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-23T20:54:36.707000Z","2026-06-21T18:18:31.613000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0019","domain","hostinger-mail-ewgjnwrkgnkrw-bxynnakvwbardcmwlmriickt[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-21T11:20:54.304000Z","2026-04-21T11:20:54.304000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0020","domain","hostinger-mail-ewgjnwrkgnkrw-bxzjuapnjfznocpgwhdkdowp[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-19T21:23:46.020000Z","2026-07-19T21:23:46.020000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0021","domain","hostinger-mail-ewgjnwrkgnkrw-ccslekboklhascaubcloacpy[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-23T05:45:50.638000Z","2026-04-23T19:09:15.014000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0022","domain","hostinger-mail-ewgjnwrkgnkrw-cfxpoocthgvrozlrtvkuhfnm[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-26T07:55:10.196000Z","2026-06-26T07:55:10.196000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0023","domain","hostinger-mail-ewgjnwrkgnkrw-cibdgytglzvjzdpcackwbiut[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-03-26T22:26:59.359000Z","2026-07-30T22:57:37.504000Z","4","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0024","domain","hostinger-mail-ewgjnwrkgnkrw-cidqfcaggcycngscfjjtract[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-02T10:31:01.962000Z","2026-08-20T02:52:35.432000Z","7","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0025","domain","hostinger-mail-ewgjnwrkgnkrw-cmizffmjywjxwfxjdgpfwdyr[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-10T20:18:39.410000Z","2026-04-10T20:18:39.410000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0026","domain","hostinger-mail-ewgjnwrkgnkrw-cpthdisozkazoscfrvzklybs[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-08T06:22:16.615000Z","2026-04-08T06:22:16.615000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0027","domain","hostinger-mail-ewgjnwrkgnkrw-cpxprpghpczjzpszszkmgipl[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-26T03:27:19.241000Z","2026-07-23T09:19:52.960000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0028","domain","hostinger-mail-ewgjnwrkgnkrw-csaqfwbjwghsvqfbqxmticyz[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-19T15:35:28.082000Z","2026-08-19T23:29:59.907000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0029","domain","hostinger-mail-ewgjnwrkgnkrw-csecjpdibyvzvkarazsspyck[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-17T21:10:05.186000Z","2026-07-03T15:09:32.667000Z","5","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0030","domain","hostinger-mail-ewgjnwrkgnkrw-csqfffmhytdeeajmlxfechdh[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-21T18:58:00.992000Z","2026-04-21T18:58:00.992000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0031","domain","hostinger-mail-ewgjnwrkgnkrw-ctutoudhcagjllstdauvecqg[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-20T08:26:44.431000Z","2026-08-20T08:26:44.431000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0032","domain","hostinger-mail-ewgjnwrkgnkrw-curhjihecloowwqsvndkrhoy[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-23T13:18:35.740000Z","2026-06-23T13:18:35.740000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0033","domain","hostinger-mail-ewgjnwrkgnkrw-czadmjojhepmlxcebzwytgto[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-12T23:57:01.458000Z","2026-07-10T09:04:16.072000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0034","domain","hostinger-mail-ewgjnwrkgnkrw-czjlthghltapsztcvtngzhux[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-03-25T12:03:49.008000Z","2026-03-25T12:03:49.008000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0035","domain","hostinger-mail-ewgjnwrkgnkrw-dbeaqbvvbcfmodkkxlcbeiil[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-20T16:02:20.568000Z","2026-08-20T16:02:20.568000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0036","domain","hostinger-mail-ewgjnwrkgnkrw-ddubvgagcfjnvfwvoywczeim[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-22T17:41:19.652000Z","2026-05-22T20:41:22.531000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0037","domain","hostinger-mail-ewgjnwrkgnkrw-dmryvsdcuzlkauvduwbsahkk[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-23T10:37:36.380000Z","2026-07-22T18:30:30.299000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0038","domain","hostinger-mail-ewgjnwrkgnkrw-dnhlywomgmzencvdckffuavw[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-05T03:13:57.982000Z","2026-05-05T03:13:57.982000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0039","domain","hostinger-mail-ewgjnwrkgnkrw-dovtfrdocskelfutwlwyerpr[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-01T23:55:14.725000Z","2026-08-23T06:45:17.447000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0040","domain","hostinger-mail-ewgjnwrkgnkrw-dppehbgfhzvhaqcrcnkfkkbp[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-16T08:56:00.051000Z","2026-04-16T08:56:00.051000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0041","domain","hostinger-mail-ewgjnwrkgnkrw-dqdyrwobwpyjvxmjtwehmidr[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-28T21:23:49.888000Z","2026-07-26T07:31:44.509000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0042","domain","hostinger-mail-ewgjnwrkgnkrw-drmdyosqmomhrjynykrmooem[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-28T06:34:53.901000Z","2026-04-28T19:31:28.621000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0043","domain","hostinger-mail-ewgjnwrkgnkrw-dvydxhrqfanhrnxwavntfvme[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-13T11:15:45.748000Z","2026-08-13T11:15:45.748000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0044","domain","hostinger-mail-ewgjnwrkgnkrw-dxnoknxxcaikibzbunjqwjyi[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-22T08:23:39.083000Z","2026-08-19T15:15:07.282000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0045","domain","hostinger-mail-ewgjnwrkgnkrw-dyxkumqzgxrscfvyvfzsicwh[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-21T10:02:49.506000Z","2026-06-21T10:02:49.506000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0046","domain","hostinger-mail-ewgjnwrkgnkrw-edvbgwyoemraxltltbbklomx[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-05-25T09:23:02.628000Z","2026-07-23T16:56:42.856000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0047","domain","hostinger-mail-ewgjnwrkgnkrw-efstgtpyozkagxecvyfrysqi[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-03T05:49:39.466000Z","2026-06-03T05:49:39.466000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0048","domain","hostinger-mail-ewgjnwrkgnkrw-efvfktiqqbgyuuisuhchnekq[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-20T16:36:32.506000Z","2026-06-20T16:36:32.506000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0049","domain","hostinger-mail-ewgjnwrkgnkrw-ehhbmmcytsvpddxhvlkpwizm[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-03T22:34:11.996000Z","2026-06-03T22:34:11.996000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0050","domain","hostinger-mail-ewgjnwrkgnkrw-eissglmlosasdghozujmlrhl[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-05T18:32:50.864000Z","2026-06-05T18:32:50.864000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0051","domain","hostinger-mail-ewgjnwrkgnkrw-ejlauqxcbbugosxxhtlhzcuy[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-04T18:09:14.801000Z","2026-07-02T05:37:37.239000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0052","domain","hostinger-mail-ewgjnwrkgnkrw-ekeqidfkcdckiiypaagdknvw[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-23T15:40:59.791000Z","2026-04-24T00:30:32.314000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0053","domain","hostinger-mail-ewgjnwrkgnkrw-elzraeukgrsdvvzvvhshpylz[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-16T08:21:56.960000Z","2026-04-16T08:21:56.960000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0054","domain","hostinger-mail-ewgjnwrkgnkrw-euipcxndvpcspthvtxyxxtix[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-26T05:48:27.160000Z","2026-05-26T12:28:36.792000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0055","domain","hostinger-mail-ewgjnwrkgnkrw-euyidnsqlhmvrmjbphmwynlp[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-27T05:48:23.096000Z","2026-06-27T05:59:43.775000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0056","domain","hostinger-mail-ewgjnwrkgnkrw-evlfsvwdlvyrddrzmppxbwxk[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-23T20:00:10.424000Z","2026-04-23T20:00:10.424000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0057","domain","hostinger-mail-ewgjnwrkgnkrw-ewapuiwcpbtknuzzdexlstuv[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-13T13:08:19.995000Z","2026-07-13T13:08:19.995000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0058","domain","hostinger-mail-ewgjnwrkgnkrw-eylahnnahawukbrjybyhdknn[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-07T11:37:56.871000Z","2026-07-05T08:20:53.837000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0059","domain","hostinger-mail-ewgjnwrkgnkrw-ezdyrtbqigpcumdsgxwytnut[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-11T14:56:49.591000Z","2026-06-11T14:56:49.591000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0060","domain","hostinger-mail-ewgjnwrkgnkrw-ezpcspvtfueuexdrisovdkrb[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-02T04:55:29.243000Z","2026-07-02T05:39:24.272000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0061","domain","hostinger-mail-ewgjnwrkgnkrw-faqeopvkhyqbycvnkytnyqxp[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-04T09:26:05.407000Z","2026-06-17T20:34:37.157000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0062","domain","hostinger-mail-ewgjnwrkgnkrw-fbrkinubjuesyrqylngiuioo[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-13T08:39:24.765000Z","2026-04-13T08:51:50.893000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0063","domain","hostinger-mail-ewgjnwrkgnkrw-flddahmxjzeyekhvpqblfdvn[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-01T06:17:38.966000Z","2026-07-30T07:50:50.362000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0064","domain","hostinger-mail-ewgjnwrkgnkrw-foqmbchnhfmbhcipnpihioph[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-04T11:36:27.056000Z","2026-08-10T10:12:25.653000Z","4","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0065","domain","hostinger-mail-ewgjnwrkgnkrw-frrgmxqtnsgueashgyazqlif[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-06T04:02:21.561000Z","2026-05-06T04:02:21.561000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0066","domain","hostinger-mail-ewgjnwrkgnkrw-fwsqopfoncmemqzaelmtbhgl[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-21T10:03:41.857000Z","2026-05-08T21:54:10.193000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0067","domain","hostinger-mail-ewgjnwrkgnkrw-fxzekkwxyuqupkhwedusqjhv[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-04T10:28:53.554000Z","2026-07-04T10:30:09.700000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0068","domain","hostinger-mail-ewgjnwrkgnkrw-gaubcvgcgljripeakxnwwizr[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-07-18T03:15:03.564000Z","2026-07-18T03:15:03.564000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0069","domain","hostinger-mail-ewgjnwrkgnkrw-geanwvtowolpdqgxnaenbkkf[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-16T10:16:02.324000Z","2026-04-16T10:16:02.324000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0070","domain","hostinger-mail-ewgjnwrkgnkrw-gebiyucqjoxopgbkdxzsilms[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-08T09:30:48.339000Z","2026-04-08T09:30:48.339000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0071","domain","hostinger-mail-ewgjnwrkgnkrw-gemhwpeityzqyzdljkbhazwx[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-04-29T15:35:54.280000Z","2026-06-28T14:11:32.167000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0072","domain","hostinger-mail-ewgjnwrkgnkrw-gfsjztgijkxfhvhnaifaunjy[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-08-20T06:45:03.590000Z","2026-08-20T06:45:03.590000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0073","domain","hostinger-mail-ewgjnwrkgnkrw-gjqvcxnmqnvoljaqdqlphdtk[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-09T09:07:57.806000Z","2026-04-09T09:07:57.806000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0074","domain","hostinger-mail-ewgjnwrkgnkrw-gqaupqwrhpymeqsmbrkhguzj[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-29T09:27:45.775000Z","2026-07-27T06:48:38.853000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0075","domain","hostinger-mail-ewgjnwrkgnkrw-gqitbkozzxrklsymgsalbbsx[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-04-06T16:17:54.753000Z","2026-04-08T11:48:25.771000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0076","domain","hostinger-mail-ewgjnwrkgnkrw-grigpkudjvrgxxhjdvnbygjz[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-05-24T01:05:48.890000Z","2026-05-24T05:30:37.025000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0077","domain","hostinger-mail-ewgjnwrkgnkrw-gsyegaqshjkquinojciqicys[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-25T10:16:26.161000Z","2026-06-25T10:21:49.163000Z","2","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0078","domain","hostinger-mail-ewgjnwrkgnkrw-gvgxlxtbgupglohvdtjxcpas[.]pages[.]dev","Cloudflare Pages","final-page;task","confirmed-main-family","2026-05-03T12:26:11.295000Z","2026-05-03T12:26:11.295000Z","1","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
"domain-0079","domain","hostinger-mail-ewgjnwrkgnkrw-gvsntitbdqnaviyobkpbjefz[.]pages[.]dev","Cloudflare Pages","task","confirmed-main-family","2026-06-22T20:03:34.241000Z","2026-08-21T15:24:53.527000Z","3","observed","high","hecavex-investigation","false","Exact long-family domain; scan observation is not victim telemetry. Verify current provider lifecycle before action."
